127.0.0.1 - - [25/Jun/2025:09:55:02 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [25/Jun/2025:09:55:03 +0900] "GET /JSP_250408/chapter01/07_productlogin.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [25/Jun/2025:09:55:03 +0900] "GET /JSP_250408/css/formcss.css HTTP/1.1" 200 1658
0:0:0:0:0:0:0:1 - - [25/Jun/2025:09:55:03 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [25/Jun/2025:09:55:06 +0900] "GET /JSP_250408/chapter01/POST?username=%EC%95%BC%ED%98%B8 HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Jun/2025:09:55:32 +0900] "GET /JSP_250408/chapter01/07_productlogin.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:13:38 +0900] "GET /JSP_250408/chapter01/07_productlogin.jsp HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:13:40 +0900] "GET /JSP_250408/chapter01/POST?username=%EB%8C%80%ED%98%B8 HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:14:20 +0900] "GET /JSP_250408/chapter01/07_productlogin.jsp HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:14:21 +0900] "GET /JSP_250408/chapter01/POST?username=123 HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:15:44 +0900] "GET /JSP_250408/chapter01/07_productlogin.jsp HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:15:45 +0900] "POST /JSP_250408/chapter01/selectProduct.jsp HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:15:47 +0900] "GET /JSP_250408/chapter01/addProduct.jsp?product=%EC%82%AC%EA%B3%BC HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:51:32 +0900] "GET /JSP_250408/chapter01/07_productlogin.jsp HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:51:34 +0900] "POST /JSP_250408/chapter01/selectProduct.jsp HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:51:35 +0900] "GET /JSP_250408/chapter01/viewCart.jsp HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:51:39 +0900] "GET /JSP_250408/chapter01/addProduct.jsp?product=%EA%B7%A4 HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:51:41 +0900] "GET /JSP_250408/chapter01/selectProduct.jsp HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:51:42 +0900] "GET /JSP_250408/chapter01/addProduct.jsp?product=%ED%8C%8C%EC%9D%B8%EC%95%A0%ED%94%8C HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:51:43 +0900] "GET /JSP_250408/chapter01/selectProduct.jsp HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:51:45 +0900] "GET /JSP_250408/chapter01/addProduct.jsp?product=%EB%B3%B5%EC%88%AD%EC%95%84 HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [25/Jun/2025:10:51:46 +0900] "GET /JSP_250408/chapter01/viewCart.jsp HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:02:13 +0900] "GET /JSP_250408/chapter01/07_productlogin.jsp HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:02:19 +0900] "POST /JSP_250408/chapter01/selectProduct.jsp HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:02:20 +0900] "GET /JSP_250408/chapter01/addProduct.jsp?product=%EC%82%AC%EA%B3%BC HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:02:23 +0900] "GET /JSP_250408/chapter01/selectProduct.jsp HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:02:26 +0900] "GET /JSP_250408/chapter01/addProduct.jsp?product=%ED%8C%8C%EC%9D%B8%EC%95%A0%ED%94%8C HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:02:27 +0900] "GET /JSP_250408/chapter01/selectProduct.jsp HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:02:31 +0900] "GET /JSP_250408/chapter01/addProduct.jsp?product=%EC%9E%90%EB%AA%BD HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:02:32 +0900] "GET /JSP_250408/chapter01/viewCart.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:03:02 +0900] "GET /JSP_250408/chapter01/selectProduct.jsp HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:03:03 +0900] "GET /JSP_250408/chapter01/addProduct.jsp?product=%EC%82%AC%EA%B3%BC HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:03:04 +0900] "GET /JSP_250408/chapter01/viewCart.jsp HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:03:23 +0900] "GET /JSP_250408/chapter01/selectProduct.jsp HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:03:24 +0900] "GET /JSP_250408/chapter01/addProduct.jsp?product=%EC%82%AC%EA%B3%BC HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:03:26 +0900] "GET /JSP_250408/chapter01/viewCart.jsp HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:05:57 +0900] "GET /JSP_250408/chapter01/08_twitter.jsp HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:05:57 +0900] "GET /JSP_250408/css/twitter.css HTTP/1.1" 200 2523
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:07:23 +0900] "GET /JSP_250408/chapter01/08_twitter.jsp HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [25/Jun/2025:11:07:25 +0900] "POST /JSP_250408/chapter01/twitter_list.jsp HTTP/1.1" 200 332
